Perplexity = 90.41, Entropy = 6.50 bits
Perplexity = 13002.25, Entropy = 13.67 bits
Perplexity = 66.71, Entropy = 6.06 bits
Perplexity = 359.68, Entropy = 8.49 bits
Perplexity = 111.52, Entropy = 6.80 bits
Perplexity = 176.62, Entropy = 7.46 bits
Perplexity = 157.94, Entropy = 7.30 bits
Perplexity = 203.45, Entropy = 7.67 bits
Perplexity = 133.37, Entropy = 7.06 bits
Perplexity = 424.93, Entropy = 8.73 bits
Perplexity = 231.63, Entropy = 7.86 bits
Perplexity = 293.13, Entropy = 8.20 bits
Perplexity = 47.79, Entropy = 5.58 bits
Perplexity = 202.31, Entropy = 7.66 bits
Perplexity = 249.90, Entropy = 7.97 bits
Perplexity = 216.99, Entropy = 7.76 bits
Perplexity = 252.70, Entropy = 7.98 bits
Perplexity = 240.53, Entropy = 7.91 bits
Perplexity = 164.90, Entropy = 7.37 bits
Perplexity = 272.43, Entropy = 8.09 bits
Perplexity = 607.73, Entropy = 9.25 bits
Perplexity = 184.51, Entropy = 7.53 bits
Perplexity = 66.17, Entropy = 6.05 bits
Perplexity = 1565.94, Entropy = 10.61 bits
Perplexity = 305.47, Entropy = 8.25 bits
Perplexity = 297.41, Entropy = 8.22 bits
Perplexity = 190.52, Entropy = 7.57 bits
Perplexity = 135.56, Entropy = 7.08 bits
Perplexity = 218.86, Entropy = 7.77 bits
Perplexity = 199.00, Entropy = 7.64 bits
Perplexity = 311.86, Entropy = 8.28 bits
Perplexity = 239.12, Entropy = 7.90 bits
Perplexity = 120.74, Entropy = 6.92 bits
Perplexity = 86.15, Entropy = 6.43 bits
Perplexity = 162.01, Entropy = 7.34 bits
Perplexity = 139.32, Entropy = 7.12 bits
Perplexity = 129.50, Entropy = 7.02 bits
Perplexity = 128.92, Entropy = 7.01 bits
Perplexity = 324.59, Entropy = 8.34 bits
Perplexity = 350.88, Entropy = 8.45 bits
Perplexity = 198.56, Entropy = 7.63 bits
Perplexity = 130.61, Entropy = 7.03 bits
Perplexity = 137.95, Entropy = 7.11 bits
Perplexity = 385.78, Entropy = 8.59 bits
Perplexity = 174.46, Entropy = 7.45 bits
Perplexity = 79.67, Entropy = 6.32 bits
Perplexity = 506.73, Entropy = 8.99 bits
Perplexity = 207.85, Entropy = 7.70 bits
Perplexity = 123.75, Entropy = 6.95 bits
Perplexity = 360.05, Entropy = 8.49 bits
Perplexity = 273.91, Entropy = 8.10 bits
Perplexity = 266.81, Entropy = 8.06 bits
Perplexity = nan, Entropy = nan bits
Perplexity = 277.10, Entropy = 8.11 bits
Perplexity = 95.74, Entropy = 6.58 bits
Perplexity = 280.59, Entropy = 8.13 bits
Perplexity = 221.33, Entropy = 7.79 bits
Perplexity = 406.74, Entropy = 8.67 bits
Perplexity = 154.46, Entropy = 7.27 bits
Perplexity = 205.20, Entropy = 7.68 bits
Perplexity = 213.44, Entropy = 7.74 bits
Perplexity = 272.33, Entropy = 8.09 bits
Perplexity = 401.99, Entropy = 8.65 bits
Perplexity = 233.30, Entropy = 7.87 bits
Perplexity = 92.81, Entropy = 6.54 bits
Perplexity = 113.91, Entropy = 6.83 bits
Perplexity = 182.62, Entropy = 7.51 bits
Perplexity = 120.87, Entropy = 6.92 bits
Perplexity = 348.73, Entropy = 8.45 bits
Perplexity = 119.29, Entropy = 6.90 bits
Perplexity = 154.54, Entropy = 7.27 bits
Perplexity = 502.23, Entropy = 8.97 bits
Perplexity = 150.89, Entropy = 7.24 bits
Perplexity = 83.19, Entropy = 6.38 bits
Perplexity = 691.17, Entropy = 9.43 bits
Perplexity = 484.13, Entropy = 8.92 bits
Perplexity = 223.00, Entropy = 7.80 bits
Perplexity = 123.69, Entropy = 6.95 bits
Perplexity = 102.04, Entropy = 6.67 bits
Perplexity = 194.15, Entropy = 7.60 bits
Perplexity = 148.59, Entropy = 7.22 bits
Perplexity = 149.19, Entropy = 7.22 bits
Perplexity = 73.01, Entropy = 6.19 bits
Perplexity = 78.64, Entropy = 6.30 bits
Perplexity = 352.62, Entropy = 8.46 bits
Perplexity = 206.71, Entropy = 7.69 bits
Perplexity = 118.55, Entropy = 6.89 bits
Perplexity = 270.44, Entropy = 8.08 bits
Perplexity = 121.41, Entropy = 6.92 bits
Perplexity = 302.81, Entropy = 8.24 bits
Perplexity = 316.59, Entropy = 8.31 bits
Perplexity = 436.49, Entropy = 8.77 bits
Perplexity = 1852.43, Entropy = 10.86 bits
Perplexity = 246.76, Entropy = 7.95 bits
Perplexity = 287.90, Entropy = 8.17 bits
Perplexity = 226.10, Entropy = 7.82 bits
Perplexity = 204.75, Entropy = 7.68 bits
Perplexity = 278.53, Entropy = 8.12 bits
Perplexity = 228.09, Entropy = 7.83 bits
Perplexity = 182.06, Entropy = 7.51 bits
Perplexity = 129.58, Entropy = 7.02 bits
Perplexity = 139.85, Entropy = 7.13 bits
Perplexity = 677.92, Entropy = 9.40 bits
Perplexity = 30.53, Entropy = 4.93 bits
Perplexity = 409.16, Entropy = 8.68 bits
Perplexity = 325.07, Entropy = 8.34 bits
Perplexity = 165.39, Entropy = 7.37 bits
Perplexity = 125.70, Entropy = 6.97 bits
Perplexity = 177.34, Entropy = 7.47 bits
Perplexity = 214.32, Entropy = 7.74 bits
Perplexity = 232.87, Entropy = 7.86 bits
Perplexity = 157.02, Entropy = 7.29 bits
Perplexity = nan, Entropy = nan bits
Perplexity = 1112.43, Entropy = 10.12 bits
