Perplexity = 107.34, Entropy = 6.75 bits
Perplexity = 90.89, Entropy = 6.51 bits
Perplexity = 103.84, Entropy = 6.70 bits
Perplexity = 241.79, Entropy = 7.92 bits
Perplexity = 100.27, Entropy = 6.65 bits
Perplexity = 90.20, Entropy = 6.50 bits
Perplexity = 115.37, Entropy = 6.85 bits
Perplexity = 175.92, Entropy = 7.46 bits
Perplexity = 100.35, Entropy = 6.65 bits
Perplexity = 137.81, Entropy = 7.11 bits
Perplexity = 82.74, Entropy = 6.37 bits
Perplexity = 181.01, Entropy = 7.50 bits
Perplexity = 147.97, Entropy = 7.21 bits
Perplexity = 93.61, Entropy = 6.55 bits
Perplexity = 130.87, Entropy = 7.03 bits
Perplexity = 247.77, Entropy = 7.95 bits
Perplexity = 107.13, Entropy = 6.74 bits
Perplexity = 163.86, Entropy = 7.36 bits
Perplexity = 81.40, Entropy = 6.35 bits
Perplexity = 96.14, Entropy = 6.59 bits
Perplexity = 162.80, Entropy = 7.35 bits
Perplexity = 86.14, Entropy = 6.43 bits
Perplexity = 117.94, Entropy = 6.88 bits
Perplexity = 151.82, Entropy = 7.25 bits
Perplexity = 260.27, Entropy = 8.02 bits
Perplexity = 77.92, Entropy = 6.28 bits
Perplexity = 121.98, Entropy = 6.93 bits
Perplexity = 197.54, Entropy = 7.63 bits
Perplexity = 83.33, Entropy = 6.38 bits
Perplexity = 192.84, Entropy = 7.59 bits
Perplexity = 101.11, Entropy = 6.66 bits
Perplexity = 80.48, Entropy = 6.33 bits
Perplexity = 113.47, Entropy = 6.83 bits
Perplexity = 151.95, Entropy = 7.25 bits
Perplexity = 99.45, Entropy = 6.64 bits
Perplexity = 177.27, Entropy = 7.47 bits
Perplexity = 104.23, Entropy = 6.70 bits
Perplexity = 105.65, Entropy = 6.72 bits
Perplexity = 126.84, Entropy = 6.99 bits
Perplexity = 172.72, Entropy = 7.43 bits
Perplexity = 132.36, Entropy = 7.05 bits
Perplexity = 129.67, Entropy = 7.02 bits
Perplexity = 118.86, Entropy = 6.89 bits
Perplexity = 113.20, Entropy = 6.82 bits
Perplexity = 330.01, Entropy = 8.37 bits
Perplexity = 107.18, Entropy = 6.74 bits
Perplexity = 104.54, Entropy = 6.71 bits
Perplexity = 148.12, Entropy = 7.21 bits
Perplexity = 133.24, Entropy = 7.06 bits
Perplexity = 154.49, Entropy = 7.27 bits
Perplexity = 188.38, Entropy = 7.56 bits
